"","method","wavelength1","value","plate","sampling","treatment","temperature","nut","rep"
"71","RFU ","614,680",17,"all","9","MIX","15","Low","3"
"72","RFU ","614,680",26,"all","9","MIX","18","Low","3"
"73","RFU ","614,680",114,"all","9","MIX","21","Low","2"
"74","RFU ","440,660",64,"all","9","MIX","9","Low","3"
"75","RFU ","440,660",31,"all","9","MIX","12","Low","3"
"76","RFU ","440,660",64,"all","9","MIX","15","Low","3"
"77","RFU ","440,660",134,"all","9","MIX","18","Low","3"
"78","RFU ","440,660",355,"all","9","MIX","21","Low","2"
"79","OD ","440",0.078,"all","9","MIX","9","Low","3"
"80","OD ","440",0.075,"all","9","MIX","12","Low","3"
"81","OD ","440",0.079,"all","9","MIX","15","Low","3"
"82","OD ","440",0.085,"all","9","MIX","18","Low","3"
"83","OD ","440",0.117,"all","9","MIX","21","Low","2"
"84","OD ","450",0.077,"all","9","MIX","9","Low","3"
"85","OD ","450",0.073,"all","9","MIX","12","Low","3"
"86","OD ","450",0.076,"all","9","MIX","15","Low","3"
"87","OD ","450",0.084,"all","9","MIX","18","Low","3"
"88","OD ","450",0.116,"all","9","MIX","21","Low","2"
"89","OD ","650",0.059,"all","9","MIX","9","Low","3"
"90","OD ","650",0.055,"all","9","MIX","12","Low","3"
"91","OD ","650",0.06,"all","9","MIX","15","Low","3"
"92","OD ","650",0.066,"all","9","MIX","18","Low","3"
"93","OD ","650",0.09,"all","9","MIX","21","Low","2"
"94","OD ","800",0.056,"all","9","MIX","9","Low","3"
"95","OD ","800",0.055,"all","9","MIX","12","Low","3"
"96","OD ","800",0.057,"all","9","MIX","15","Low","3"
"97","OD ","800",0.062,"all","9","MIX","18","Low","3"
"98","OD ","800",0.086,"all","9","MIX","21","Low","2"
"99","RFU ","395,680",39,"all","9","MIX","9","HI","1"
"100","RFU ","395,680",40,"all","9","MIX","12","HI","1"
"101","RFU ","395,680",65,"all","9","MIX","15","HI","1"
"102","RFU ","395,680",77,"all","9","MIX","18","HI","1"
"103","RFU ","395,680",430,"all","9","MIX","21","Low","3"
"104","RFU ","614,680",9,"all","9","MIX","9","HI","1"
"105","RFU ","614,680",11,"all","9","MIX","12","HI","1"
"106","RFU ","614,680",6,"all","9","MIX","15","HI","1"
"107","RFU ","614,680",13,"all","9","MIX","18","HI","1"
"108","RFU ","614,680",94,"all","9","MIX","21","Low","3"
"109","RFU ","440,660",35,"all","9","MIX","9","HI","1"
"110","RFU ","440,660",26,"all","9","MIX","12","HI","1"
"111","RFU ","440,660",49,"all","9","MIX","15","HI","1"
"112","RFU ","440,660",61,"all","9","MIX","18","HI","1"
"113","RFU ","440,660",320,"all","9","MIX","21","Low","3"
"114","OD ","440",0.062,"all","9","MIX","9","HI","1"
"115","OD ","440",0.063,"all","9","MIX","12","HI","1"
"116","OD ","440",0.075,"all","9","MIX","15","HI","1"
"117","OD ","440",0.073,"all","9","MIX","18","HI","1"
"118","OD ","440",0.121,"all","9","MIX","21","Low","3"
"119","OD ","450",0.061,"all","9","MIX","9","HI","1"
"120","OD ","450",0.061,"all","9","MIX","12","HI","1"
"121","OD ","450",0.074,"all","9","MIX","15","HI","1"
"122","OD ","450",0.073,"all","9","MIX","18","HI","1"
"123","OD ","450",0.111,"all","9","MIX","21","Low","3"
"124","OD ","650",0.049,"all","9","MIX","9","HI","1"
"125","OD ","650",0.048,"all","9","MIX","12","HI","1"
"126","OD ","650",0.057,"all","9","MIX","15","HI","1"
"127","OD ","650",0.054,"all","9","MIX","18","HI","1"
"128","OD ","650",0.082,"all","9","MIX","21","Low","3"
"129","OD ","800",0.048,"all","9","MIX","9","HI","1"
"130","OD ","800",0.048,"all","9","MIX","12","HI","1"
"131","OD ","800",0.056,"all","9","MIX","15","HI","1"
"132","OD ","800",0.054,"all","9","MIX","18","HI","1"
"133","OD ","800",0.083,"all","9","MIX","21","Low","3"
"134","RFU ","395,680",62,"all","9","MIX","9","HI","2"
"135","RFU ","395,680",32,"all","9","MIX","12","HI","2"
"136","RFU ","395,680",47,"all","9","MIX","15","HI","2"
"137","RFU ","395,680",55,"all","9","MIX","18","HI","2"
"138","RFU ","395,680",561,"all","9","MIX","21","HI","1"
"139","RFU ","614,680",9,"all","9","MIX","9","HI","2"
"140","RFU ","614,680",9,"all","9","MIX","12","HI","2"
"141","RFU ","614,680",10,"all","9","MIX","15","HI","2"
"142","RFU ","614,680",7,"all","9","MIX","18","HI","2"
"143","RFU ","614,680",92,"all","9","MIX","21","HI","1"
"144","RFU ","440,660",47,"all","9","MIX","9","HI","2"
"145","RFU ","440,660",36,"all","9","MIX","12","HI","2"
"146","RFU ","440,660",33,"all","9","MIX","15","HI","2"
"147","RFU ","440,660",77,"all","9","MIX","18","HI","2"
"148","RFU ","440,660",272,"all","9","MIX","21","HI","1"
"149","OD ","440",0.06,"all","9","MIX","9","HI","2"
"150","OD ","440",0.062,"all","9","MIX","12","HI","2"
"151","OD ","440",0.068,"all","9","MIX","15","HI","2"
"152","OD ","440",0.074,"all","9","MIX","18","HI","2"
"153","OD ","440",0.114,"all","9","MIX","21","HI","1"
"154","OD ","450",0.058,"all","9","MIX","9","HI","2"
"155","OD ","450",0.061,"all","9","MIX","12","HI","2"
"156","OD ","450",0.067,"all","9","MIX","15","HI","2"
"157","OD ","450",0.074,"all","9","MIX","18","HI","2"
"158","OD ","450",0.111,"all","9","MIX","21","HI","1"
"159","OD ","650",0.048,"all","9","MIX","9","HI","2"
"160","OD ","650",0.047,"all","9","MIX","12","HI","2"
"161","OD ","650",0.051,"all","9","MIX","15","HI","2"
"162","OD ","650",0.055,"all","9","MIX","18","HI","2"
"163","OD ","650",0.085,"all","9","MIX","21","HI","1"
"164","OD ","800",0.047,"all","9","MIX","9","HI","2"
"165","OD ","800",0.047,"all","9","MIX","12","HI","2"
"166","OD ","800",0.052,"all","9","MIX","15","HI","2"
"167","OD ","800",0.053,"all","9","MIX","18","HI","2"
"168","OD ","800",0.077,"all","9","MIX","21","HI","1"
"169","RFU ","395,680",104,"all","9","MIX","9","HI","3"
"170","RFU ","395,680",40,"all","9","MIX","12","HI","3"
"171","RFU ","395,680",83,"all","9","MIX","15","HI","3"
"172","RFU ","395,680",101,"all","9","MIX","18","HI","3"
"173","RFU ","395,680",433,"all","9","MIX","21","HI","2"
"174","RFU ","614,680",17,"all","9","MIX","9","HI","3"
"175","RFU ","614,680",7,"all","9","MIX","12","HI","3"
"176","RFU ","614,680",12,"all","9","MIX","15","HI","3"
"177","RFU ","614,680",15,"all","9","MIX","18","HI","3"
"178","RFU ","614,680",73,"all","9","MIX","21","HI","2"
"179","RFU ","440,660",54,"all","9","MIX","9","HI","3"
"180","RFU ","440,660",24,"all","9","MIX","12","HI","3"
"181","RFU ","440,660",53,"all","9","MIX","15","HI","3"
"182","RFU ","440,660",80,"all","9","MIX","18","HI","3"
"183","RFU ","440,660",305,"all","9","MIX","21","HI","2"
"184","OD ","440",0.077,"all","9","MIX","9","HI","3"
"185","OD ","440",0.063,"all","9","MIX","12","HI","3"
"186","OD ","440",0.068,"all","9","MIX","15","HI","3"
"187","OD ","440",0.083,"all","9","MIX","18","HI","3"
"188","OD ","440",0.11,"all","9","MIX","21","HI","2"
"189","OD ","450",0.075,"all","9","MIX","9","HI","3"
"190","OD ","450",0.062,"all","9","MIX","12","HI","3"
"191","OD ","450",0.065,"all","9","MIX","15","HI","3"
"192","OD ","450",0.082,"all","9","MIX","18","HI","3"
"193","OD ","450",0.112,"all","9","MIX","21","HI","2"
"194","OD ","650",0.059,"all","9","MIX","9","HI","3"
"195","OD ","650",0.047,"all","9","MIX","12","HI","3"
"196","OD ","650",0.05,"all","9","MIX","15","HI","3"
"197","OD ","650",0.06,"all","9","MIX","18","HI","3"
"198","OD ","650",0.086,"all","9","MIX","21","HI","2"
"199","OD ","800",0.058,"all","9","MIX","9","HI","3"
"200","OD ","800",0.047,"all","9","MIX","12","HI","3"
"201","OD ","800",0.049,"all","9","MIX","15","HI","3"
"202","OD ","800",0.057,"all","9","MIX","18","HI","3"
"203","OD ","800",0.079,"all","9","MIX","21","HI","2"
"204","RFU ","395,680",4,"all","9","MIX","21","HI","3"
"205","RFU ","614,680",2,"all","9","MIX","21","HI","3"
"206","RFU ","440,660",9,"all","9","MIX","21","HI","3"
"207","OD ","440",0.038,"all","9","MIX","21","HI","3"
"208","OD ","450",0.038,"all","9","MIX","21","HI","3"
"209","OD ","650",0.035,"all","9","MIX","21","HI","3"
"210","OD ","800",0.039,"all","9","MIX","21","HI","3"
"211","RFU ","395,680",216,"all","8","MIX","9","Low","1"
"212","RFU ","395,680",246,"all","8","MIX","12","Low","1"
"213","RFU ","395,680",117,"all","8","MIX","15","Low","1"
"214","RFU ","395,680",206,"all","8","MIX","18","Low","1"
"215","RFU ","614,680",29,"all","8","MIX","9","Low","1"
"216","RFU ","614,680",42,"all","8","MIX","12","Low","1"
"217","RFU ","614,680",23,"all","8","MIX","15","Low","1"
"218","RFU ","614,680",41,"all","8","MIX","18","Low","1"
"219","RFU ","440,660",127,"all","8","MIX","9","Low","1"
"220","RFU ","440,660",163,"all","8","MIX","12","Low","1"
"221","RFU ","440,660",93,"all","8","MIX","15","Low","1"
"222","RFU ","440,660",160,"all","8","MIX","18","Low","1"
"223","OD ","440",0.088,"all","8","MIX","9","Low","1"
"224","OD ","440",0.096,"all","8","MIX","12","Low","1"
"225","OD ","440",0.092,"all","8","MIX","15","Low","1"
"226","OD ","440",0.12,"all","8","MIX","18","Low","1"
"227","OD ","450",0.082,"all","8","MIX","9","Low","1"
"228","OD ","450",0.084,"all","8","MIX","12","Low","1"
"229","OD ","450",0.091,"all","8","MIX","15","Low","1"
"230","OD ","450",0.117,"all","8","MIX","18","Low","1"
"231","OD ","650",0.068,"all","8","MIX","9","Low","1"
"232","OD ","650",0.069,"all","8","MIX","12","Low","1"
"233","OD ","650",0.072,"all","8","MIX","15","Low","1"
"234","OD ","650",0.09,"all","8","MIX","18","Low","1"
"235","OD ","800",0.061,"all","8","MIX","9","Low","1"
"236","OD ","800",0.071,"all","8","MIX","12","Low","1"
"237","OD ","800",0.07,"all","8","MIX","15","Low","1"
"238","OD ","800",0.087,"all","8","MIX","18","Low","1"
"239","RFU ","395,680",127,"all","8","MIX","9","Low","2"
"240","RFU ","395,680",96,"all","8","MIX","12","Low","2"
"241","RFU ","395,680",74,"all","8","MIX","15","Low","2"
"242","RFU ","395,680",197,"all","8","MIX","18","Low","2"
"243","RFU ","395,680",229,"all","8","MIX","21","Low","1"
"244","RFU ","614,680",22,"all","8","MIX","9","Low","2"
"245","RFU ","614,680",21,"all","8","MIX","12","Low","2"
"246","RFU ","614,680",9,"all","8","MIX","15","Low","2"
"247","RFU ","614,680",32,"all","8","MIX","18","Low","2"
"248","RFU ","614,680",34,"all","8","MIX","21","Low","1"
"249","RFU ","440,660",59,"all","8","MIX","9","Low","2"
"250","RFU ","440,660",97,"all","8","MIX","12","Low","2"
"251","RFU ","440,660",59,"all","8","MIX","15","Low","2"
"252","RFU ","440,660",92,"all","8","MIX","18","Low","2"
"253","RFU ","440,660",175,"all","8","MIX","21","Low","1"
"254","OD ","440",0.069,"all","8","MIX","9","Low","2"
"255","OD ","440",0.07,"all","8","MIX","12","Low","2"
"256","OD ","440",0.082,"all","8","MIX","15","Low","2"
"257","OD ","440",0.089,"all","8","MIX","18","Low","2"
"258","OD ","440",0.098,"all","8","MIX","21","Low","1"
"259","OD ","450",0.066,"all","8","MIX","9","Low","2"
"260","OD ","450",0.074,"all","8","MIX","12","Low","2"
"261","OD ","450",0.081,"all","8","MIX","15","Low","2"
"262","OD ","450",0.088,"all","8","MIX","18","Low","2"
"263","OD ","450",0.097,"all","8","MIX","21","Low","1"
"264","OD ","650",0.051,"all","8","MIX","9","Low","2"
"265","OD ","650",0.059,"all","8","MIX","12","Low","2"
"266","OD ","650",0.06,"all","8","MIX","15","Low","2"
"267","OD ","650",0.068,"all","8","MIX","18","Low","2"
"268","OD ","650",0.075,"all","8","MIX","21","Low","1"
"269","OD ","800",0.05,"all","8","MIX","9","Low","2"
"270","OD ","800",0.056,"all","8","MIX","12","Low","2"
"271","OD ","800",0.057,"all","8","MIX","15","Low","2"
"272","OD ","800",0.065,"all","8","MIX","18","Low","2"
"273","OD ","800",0.073,"all","8","MIX","21","Low","1"
"274","RFU ","395,680",99,"all","8","MIX","9","Low","3"
"275","RFU ","395,680",113,"all","8","MIX","12","Low","3"
"276","RFU ","395,680",204,"all","8","MIX","15","Low","3"
"277","RFU ","395,680",124,"all","8","MIX","18","Low","3"
"278","RFU ","395,680",190,"all","8","MIX","21","Low","2"
"279","RFU ","614,680",20,"all","8","MIX","9","Low","3"
"280","RFU ","614,680",30,"all","8","MIX","12","Low","3"
"281","RFU ","614,680",10,"all","8","MIX","15","Low","3"
"282","RFU ","614,680",16,"all","8","MIX","18","Low","3"
"283","RFU ","614,680",45,"all","8","MIX","21","Low","2"
"284","RFU ","440,660",76,"all","8","MIX","9","Low","3"
"285","RFU ","440,660",122,"all","8","MIX","12","Low","3"
"286","RFU ","440,660",70,"all","8","MIX","15","Low","3"
"287","RFU ","440,660",87,"all","8","MIX","18","Low","3"
"288","RFU ","440,660",146,"all","8","MIX","21","Low","2"
"289","OD ","440",0.075,"all","8","MIX","9","Low","3"
"290","OD ","440",0.076,"all","8","MIX","12","Low","3"
"291","OD ","440",0.072,"all","8","MIX","15","Low","3"
"292","OD ","440",0.082,"all","8","MIX","18","Low","3"
"293","OD ","440",0.108,"all","8","MIX","21","Low","2"
"294","OD ","450",0.075,"all","8","MIX","9","Low","3"
"295","OD ","450",0.079,"all","8","MIX","12","Low","3"
"296","OD ","450",0.07,"all","8","MIX","15","Low","3"
"297","OD ","450",0.08,"all","8","MIX","18","Low","3"
"298","OD ","450",0.106,"all","8","MIX","21","Low","2"
"299","OD ","650",0.061,"all","8","MIX","9","Low","3"
"300","OD ","650",0.062,"all","8","MIX","12","Low","3"
"301","OD ","650",0.055,"all","8","MIX","15","Low","3"
"302","OD ","650",0.061,"all","8","MIX","18","Low","3"
"303","OD ","650",0.083,"all","8","MIX","21","Low","2"
"304","OD ","800",0.062,"all","8","MIX","9","Low","3"
"305","OD ","800",0.064,"all","8","MIX","12","Low","3"
"306","OD ","800",0.053,"all","8","MIX","15","Low","3"
"307","OD ","800",0.059,"all","8","MIX","18","Low","3"
"308","OD ","800",0.079,"all","8","MIX","21","Low","2"
"309","RFU ","395,680",54,"all","8","MIX","9","HI","1"
"310","RFU ","395,680",113,"all","8","MIX","12","HI","1"
"311","RFU ","395,680",56,"all","8","MIX","15","HI","1"
"312","RFU ","395,680",71,"all","8","MIX","18","HI","1"
"313","RFU ","395,680",205,"all","8","MIX","21","Low","3"
"314","RFU ","614,680",5,"all","8","MIX","9","HI","1"
"315","RFU ","614,680",25,"all","8","MIX","12","HI","1"
"316","RFU ","614,680",18,"all","8","MIX","15","HI","1"
"317","RFU ","614,680",12,"all","8","MIX","18","HI","1"
"318","RFU ","614,680",41,"all","8","MIX","21","Low","3"
"319","RFU ","440,660",51,"all","8","MIX","9","HI","1"
"320","RFU ","440,660",110,"all","8","MIX","12","HI","1"
"321","RFU ","440,660",53,"all","8","MIX","15","HI","1"
"322","RFU ","440,660",62,"all","8","MIX","18","HI","1"
"323","RFU ","440,660",151,"all","8","MIX","21","Low","3"
"324","OD ","440",0.062,"all","8","MIX","9","HI","1"
"325","OD ","440",0.067,"all","8","MIX","12","HI","1"
"326","OD ","440",0.066,"all","8","MIX","15","HI","1"
"327","OD ","440",0.076,"all","8","MIX","18","HI","1"
"328","OD ","440",0.1,"all","8","MIX","21","Low","3"
"329","OD ","450",0.059,"all","8","MIX","9","HI","1"
"330","OD ","450",0.066,"all","8","MIX","12","HI","1"
"331","OD ","450",0.066,"all","8","MIX","15","HI","1"
"332","OD ","450",0.075,"all","8","MIX","18","HI","1"
"333","OD ","450",0.098,"all","8","MIX","21","Low","3"
"334","OD ","650",0.049,"all","8","MIX","9","HI","1"
"335","OD ","650",0.054,"all","8","MIX","12","HI","1"
"336","OD ","650",0.051,"all","8","MIX","15","HI","1"
"337","OD ","650",0.057,"all","8","MIX","18","HI","1"
"338","OD ","650",0.074,"all","8","MIX","21","Low","3"
"339","OD ","800",0.048,"all","8","MIX","9","HI","1"
"340","OD ","800",0.053,"all","8","MIX","12","HI","1"
"341","OD ","800",0.052,"all","8","MIX","15","HI","1"
"342","OD ","800",0.057,"all","8","MIX","18","HI","1"
"343","OD ","800",0.072,"all","8","MIX","21","Low","3"
"344","RFU ","395,680",58,"all","8","MIX","9","HI","2"
"345","RFU ","395,680",114,"all","8","MIX","12","HI","2"
"346","RFU ","395,680",46,"all","8","MIX","15","HI","2"
"347","RFU ","395,680",65,"all","8","MIX","18","HI","2"
"348","RFU ","395,680",201,"all","8","MIX","21","HI","1"
"349","RFU ","614,680",6,"all","8","MIX","9","HI","2"
"350","RFU ","614,680",29,"all","8","MIX","12","HI","2"
"351","RFU ","614,680",14,"all","8","MIX","15","HI","2"
"352","RFU ","614,680",19,"all","8","MIX","18","HI","2"
"353","RFU ","614,680",43,"all","8","MIX","21","HI","1"
"354","RFU ","440,660",37,"all","8","MIX","9","HI","2"
"355","RFU ","440,660",81,"all","8","MIX","12","HI","2"
"356","RFU ","440,660",48,"all","8","MIX","15","HI","2"
"357","RFU ","440,660",65,"all","8","MIX","18","HI","2"
"358","RFU ","440,660",123,"all","8","MIX","21","HI","1"
"359","OD ","440",0.058,"all","8","MIX","9","HI","2"
"360","OD ","440",0.061,"all","8","MIX","12","HI","2"
"361","OD ","440",0.06,"all","8","MIX","15","HI","2"
"362","OD ","440",0.076,"all","8","MIX","18","HI","2"
"363","OD ","440",0.098,"all","8","MIX","21","HI","1"
"364","OD ","450",0.056,"all","8","MIX","9","HI","2"
"365","OD ","450",0.06,"all","8","MIX","12","HI","2"
"366","OD ","450",0.059,"all","8","MIX","15","HI","2"
"367","OD ","450",0.074,"all","8","MIX","18","HI","2"
"368","OD ","450",0.096,"all","8","MIX","21","HI","1"
"369","OD ","650",0.046,"all","8","MIX","9","HI","2"
"370","OD ","650",0.052,"all","8","MIX","12","HI","2"
"371","OD ","650",0.048,"all","8","MIX","15","HI","2"
"372","OD ","650",0.056,"all","8","MIX","18","HI","2"
"373","OD ","650",0.072,"all","8","MIX","21","HI","1"
"374","OD ","800",0.047,"all","8","MIX","9","HI","2"
"375","OD ","800",0.05,"all","8","MIX","12","HI","2"
"376","OD ","800",0.049,"all","8","MIX","15","HI","2"
"377","OD ","800",0.055,"all","8","MIX","18","HI","2"
"378","OD ","800",0.069,"all","8","MIX","21","HI","1"
"379","RFU ","395,680",128,"all","8","MIX","9","HI","3"
"380","RFU ","395,680",131,"all","8","MIX","12","HI","3"
"381","RFU ","395,680",102,"all","8","MIX","15","HI","3"
"382","RFU ","395,680",96,"all","8","MIX","18","HI","3"
"383","RFU ","395,680",212,"all","8","MIX","21","HI","2"
"384","RFU ","614,680",14,"all","8","MIX","9","HI","3"
"385","RFU ","614,680",27,"all","8","MIX","12","HI","3"
"386","RFU ","614,680",18,"all","8","MIX","15","HI","3"
"387","RFU ","614,680",12,"all","8","MIX","18","HI","3"
"388","RFU ","614,680",40,"all","8","MIX","21","HI","2"
"389","RFU ","440,660",78,"all","8","MIX","9","HI","3"
"390","RFU ","440,660",99,"all","8","MIX","12","HI","3"
"391","RFU ","440,660",47,"all","8","MIX","15","HI","3"
"392","RFU ","440,660",64,"all","8","MIX","18","HI","3"
"393","RFU ","440,660",181,"all","8","MIX","21","HI","2"
"394","OD ","440",0.066,"all","8","MIX","9","HI","3"
"395","OD ","440",0.071,"all","8","MIX","12","HI","3"
"396","OD ","440",0.066,"all","8","MIX","15","HI","3"
"397","OD ","440",0.078,"all","8","MIX","18","HI","3"
"398","OD ","440",0.107,"all","8","MIX","21","HI","2"
"399","OD ","450",0.066,"all","8","MIX","9","HI","3"
"400","OD ","450",0.069,"all","8","MIX","12","HI","3"
"401","OD ","450",0.065,"all","8","MIX","15","HI","3"
"402","OD ","450",0.076,"all","8","MIX","18","HI","3"
"403","OD ","450",0.105,"all","8","MIX","21","HI","2"
"404","OD ","650",0.053,"all","8","MIX","9","HI","3"
"405","OD ","650",0.052,"all","8","MIX","12","HI","3"
"406","OD ","650",0.051,"all","8","MIX","15","HI","3"
"407","OD ","650",0.058,"all","8","MIX","18","HI","3"
"408","OD ","650",0.081,"all","8","MIX","21","HI","2"
"409","OD ","800",0.052,"all","8","MIX","9","HI","3"
"410","OD ","800",0.05,"all","8","MIX","12","HI","3"
"411","OD ","800",0.051,"all","8","MIX","15","HI","3"
"412","OD ","800",0.055,"all","8","MIX","18","HI","3"
"413","OD ","800",0.077,"all","8","MIX","21","HI","2"
"414","RFU ","395,680",6,"all","8","MIX","21","HI","3"
"415","RFU ","614,680",7,"all","8","MIX","21","HI","3"
"416","RFU ","440,660",5,"all","8","MIX","21","HI","3"
"417","OD ","440",0.038,"all","8","MIX","21","HI","3"
"418","OD ","450",0.037,"all","8","MIX","21","HI","3"
"419","OD ","650",0.035,"all","8","MIX","21","HI","3"
"420","OD ","800",0.039,"all","8","MIX","21","HI","3"
"421","RFU ","395,680",269,"all","8.5","MIX","9","Low","1"
"422","RFU ","395,680",276,"all","8.5","MIX","12","Low","1"
"423","RFU ","395,680",433,"all","8.5","MIX","15","Low","1"
"424","RFU ","395,680",679,"all","8.5","MIX","18","Low","1"
"425","RFU ","614,680",45,"all","8.5","MIX","9","Low","1"
"426","RFU ","614,680",49,"all","8.5","MIX","12","Low","1"
"427","RFU ","614,680",65,"all","8.5","MIX","15","Low","1"
"428","RFU ","614,680",112,"all","8.5","MIX","18","Low","1"
"429","RFU ","440,660",215,"all","8.5","MIX","9","Low","1"
"430","RFU ","440,660",91,"all","8.5","MIX","12","Low","1"
"431","RFU ","440,660",254,"all","8.5","MIX","15","Low","1"
"432","RFU ","440,660",429,"all","8.5","MIX","18","Low","1"
"433","OD ","440",0.085,"all","8.5","MIX","9","Low","1"
"434","OD ","440",0.082,"all","8.5","MIX","12","Low","1"
"435","OD ","440",0.105,"all","8.5","MIX","15","Low","1"
"436","OD ","440",0.109,"all","8.5","MIX","18","Low","1"
"437","OD ","450",0.082,"all","8.5","MIX","9","Low","1"
"438","OD ","450",0.077,"all","8.5","MIX","12","Low","1"
"439","OD ","450",0.103,"all","8.5","MIX","15","Low","1"
"440","OD ","450",0.109,"all","8.5","MIX","18","Low","1"
"441","OD ","650",0.061,"all","8.5","MIX","9","Low","1"
"442","OD ","650",0.06,"all","8.5","MIX","12","Low","1"
"443","OD ","650",0.083,"all","8.5","MIX","15","Low","1"
"444","OD ","650",0.084,"all","8.5","MIX","18","Low","1"
"445","OD ","800",0.052,"all","8.5","MIX","9","Low","1"
"446","OD ","800",0.064,"all","8.5","MIX","12","Low","1"
"447","OD ","800",0.081,"all","8.5","MIX","15","Low","1"
"448","OD ","800",0.08,"all","8.5","MIX","18","Low","1"
"449","RFU ","395,680",377,"all","8.5","MIX","9","Low","2"
"450","RFU ","395,680",200,"all","8.5","MIX","12","Low","2"
"451","RFU ","395,680",386,"all","8.5","MIX","15","Low","2"
"452","RFU ","395,680",647,"all","8.5","MIX","18","Low","2"
"453","RFU ","395,680",666,"all","8.5","MIX","21","Low","1"
"454","RFU ","614,680",36,"all","8.5","MIX","9","Low","2"
"455","RFU ","614,680",25,"all","8.5","MIX","12","Low","2"
